Resource ID	Ref ID	URI	Container Indicator 1	Container Indicator 2	Container Indicator 3	Title	Component ID
MSS.276	f7efda2dc8822a753dbaf65fb25f6d65	/repositories/3/archival_objects/733143	1, 2, 6, Digitized Access Files	225, 225, 225, cuid4735	""	Episode 225: Operation Class War 	cuid4735
MSS.276	be74b481aa7954086cdd3127ea5f470b	/repositories/3/archival_objects/733144	5, Digitized Access Files	248, cuid4736	""	Episode 248: The Media Blanks on Healthcare Reform	cuid4736
MSS.276	360d87b1c4abd002b8f69d8054b55c12	/repositories/3/archival_objects/733145	5, Digitized Access Files	250, cuid4737	""	Episode 250: Dis-Function: A Case of Healthcare Blues	cuid4737
MSS.276	9d01c1a5cfa3caaa52f4504bbf08aa05	/repositories/3/archival_objects/733146	5, Digitized Access Files	265, cuid4738	""	Episode 265: Narrowcasting - The Rise of the Christian Right	cuid4738
MSS.276	4d2cc92a0580645de7a6cf365821075a	/repositories/3/archival_objects/733147	6, Digitized Access Files	273, cuid4739	""	Episode 273: Putting the Demo Back Into Democracy 	cuid4739
MSS.276	289d01af683f7ada4372b5ecf2b77113	/repositories/3/archival_objects/733148	Digitized Access Files	cuid4740	""	Episode 282: Freeing the Media, Part I	cuid4740
MSS.276	7b0d514d42abbac9c02e0d7db9277f56	/repositories/3/archival_objects/733149	19, Digitized Access Files	283, cuid4741	""	Episode 283: Freeing the Media, Part II	cuid4741
MSS.276	22b26ffd2911136dcf592583a29df90c	/repositories/3/archival_objects/733150	19, Digitized Access Files	289, cuid4742	""	Episode 289: Showdown in Seattle: Seattle Prelude, Part I	cuid4742
MSS.276	6edbabb45838ac8131f7c0641dde57ae	/repositories/3/archival_objects/733151	19, Digitized Access Files	290, cuid4743	""	Episode 290: Showdown in Seattle: People Unite, Police Riot, Part II	cuid4743
MSS.276	a84e59c19b097f2a3f6875e2208b582f	/repositories/3/archival_objects/733152	Digitized Access Files	cuid4744	""	Episode 291: Showdown in Seattle: Occupied Seattle, Part III	cuid4744
MSS.276	03e6209a91209392ecfc03610998fae5	/repositories/3/archival_objects/733154	Digitized Access Files	cuid4747	""	Episode 294: Showdown in Seattle, 1 Hour Version	cuid4746
MSS.276	f8d1b9917bd1e77282aecc2587653825	/repositories/3/archival_objects/733155	19, Digitized Access Files	293, cuid4746	""	Episode 293: Showdown in Seattle: What Democracy Looks Like, Part V	cuid4746
MSS.276	2a47534159c58692f6e0d61c92baee27	/repositories/3/archival_objects/733156	14, Digitized Access Files	323, cuid4748	""	Episode 323: Paper Tiger Reads Paper Tiger Television 	cuid4748
MSS.276	b9315bdc22f8917fbccc44315b5c828e	/repositories/3/archival_objects/826067	12, Digitized Access Files	cuid21362, cuid21362	""	Fenced Out	cuid21362
MSS.276	c4e544706306fedcfe42a689dc4690b0	/repositories/3/archival_objects/835452	2	234	""	Herb KO's Corporate Sports - Dub Master	cuid21460
MSS.276	538fa3a0a23fa7a857865629f7a16ffb	/repositories/3/archival_objects/835456	3	237c	""	Spoken By An Actor: Censorship and Cinema in Ireland	cuid21463
MSS.276	122f3c5911a729d4b05998dafdf575da	/repositories/3/archival_objects/835457	3	254	""	A Cry For Freedom and Democracy 	cuid21464
MSS.276	d120a3c4b79822574ce86650c5f57543	/repositories/3/archival_objects/835459	3	239	""	Street Sheet - Dub Master	cuid21466
MSS.276	9b213f549225b8f02d6dff5fbc6a83f4	/repositories/3/archival_objects/835462	3, 3, 3	242, 242a, 242b	""	Wired For Action: Women's Organizations Jammin The Media	cuid21469
MSS.276	39a18d06b4c502ab9b8decf89d247b75	/repositories/3/archival_objects/835466	5	255	""	Shredded Hopes - 1994 Mexican Elections - Dub Master	cuid21473
MSS.276	671f86ff9c88f8d953c322c155f346e6	/repositories/3/archival_objects/835467	5	257	""	Super Barrio Mexico 1994	cuid21474
MSS.276	c21b46e796a09c2409befeb62c54b1be	/repositories/3/archival_objects/835469	5	258	""	Dan Hallin Unmasks Jacobo Zabludosky - Dub Master	cuid21476
MSS.276	fed0a29ae4236352398b8af81ef51ce4	/repositories/3/archival_objects/835472	5	256	""	Episode 256: Married With Children: Part II On Motherhood	cuid21479
MSS.276	287be765392427a60ffae740ea63650b	/repositories/3/archival_objects/835515	5, Digitized Access Files	134, cuid4705	""	Episode 134: Herb Shiller Smashes the Crash 	cuid4705
MSS.276	7452294842e05fd29ea39127191bf279	/repositories/3/archival_objects/835517	2, 4, Digitized Access Files	56, 56c , cuid4684	""	Episode 56: Neil Smith Reads USA Today 	cuid4684
MSS.276	6c6f2a1dde21df0f9c53018131a0f9cd	/repositories/3/archival_objects/835522	4, 2, Digitized Access Files	79, 79, cuid4690	""	Episode 79: Columbia Students Divestment Blockade	cuid4690
MSS.276	e97511e72e02428f4abcd582f7fc36b6	/repositories/3/archival_objects/835523	4, Digitized Access Files	34, cuid4681	""	Episode 34: Tom Weinberg Reads Wall Street Journal	cuid4681
MSS.276	b1b6a38fa510bc7447ae75be8ab36f53	/repositories/3/archival_objects/835524	4, 2, Digitized Access Files	74, 74, cuid4688	""	Episode 74: Youth and the Media: Escape from Tom & Jerry	cuid4688
